Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,536.0,554.3499755859375,525.2000122070312,538.2000122070312,519.2333984375,40797825
2023-01-31,545.0,557.0,537.8499755859375,553.5,533.9942016601562,21911943
2023-02-01,561.4000244140625,565.0,499.3500061035156,527.3499755859375,508.7657165527344,38218810
2023-02-02,520.2000122070312,532.6500244140625,502.5,528.0999755859375,509.4892883300781,39287056
2023-02-03,536.0,545.9500122070312,519.1500244140625,544.2000122070312,525.02197265625,32317232
2023-02-06,558.7999877929688,558.7999877929688,536.5499877929688,545.4000244140625,526.1796875,25338586
2023-02-07,548.0,551.4000244140625,541.0499877929688,547.0999755859375,527.8197021484375,16195947
2023-02-08,550.0,554.5,545.5,549.75,530.3764038085938,15502847
2023-02-09,552.0,552.0,542.7999877929688,550.7999877929688,531.389404296875,15061047
2023-02-10,546.5,557.25,546.5,553.0499877929688,533.56005859375,13824475
2023-02-13,554.0,556.9000244140625,533.2999877929688,537.5,518.55810546875,18488732
2023-02-14,539.9500122070312,544.5999755859375,530.75,540.8499755859375,521.7899780273438,18559909
2023-02-15,540.0,544.6500244140625,536.7999877929688,542.25,523.1406860351562,12796579
2023-02-16,546.8499755859375,546.8499755859375,538.5,540.0999755859375,521.06640625,12767016
2023-02-17,538.5,539.6500244140625,527.75,531.0,512.2871704101562,14192008
2023-02-20,532.0,533.9500122070312,522.1500244140625,525.1500244140625,506.6433410644531,12570032
2023-02-21,527.0999755859375,528.9500122070312,522.4000244140625,523.4500122070312,505.00323486328125,10223218
2023-02-22,520.75,521.9000244140625,512.5,516.3499755859375,498.1534118652344,14763050
2023-02-23,516.9500122070312,524.0,511.3500061035156,521.0,502.6395263671875,15535085
2023-02-24,524.2000122070312,527.5,517.5999755859375,521.0499877929688,502.6877746582031,12253035
2023-02-27,521.0999755859375,529.7999877929688,519.0,527.7000122070312,509.1034240722656,11048799
2023-02-28,527.25,528.4500122070312,521.0499877929688,522.7999877929688,504.3761291503906,15768010
